Category: All categories

Week,anaconda python: (Worldwide)
2013-11-03,14
2013-11-10,14
2013-11-17,16
2013-11-24,19
2013-12-01,15
2013-12-08,17
2013-12-15,14
2013-12-22,15
2013-12-29,14
2014-01-05,16
2014-01-12,19
2014-01-19,19
2014-01-26,17
2014-02-02,17
2014-02-09,18
2014-02-16,19
2014-02-23,20
2014-03-02,30
2014-03-09,25
2014-03-16,20
2014-03-23,21
2014-03-30,17
2014-04-06,20
2014-04-13,23
2014-04-20,18
2014-04-27,22
2014-05-04,17
2014-05-11,19
2014-05-18,22
2014-05-25,25
2014-06-01,17
2014-06-08,18
2014-06-15,16
2014-06-22,17
2014-06-29,18
2014-07-06,22
2014-07-13,20
2014-07-20,30
2014-07-27,18
2014-08-03,20
2014-08-10,21
2014-08-17,35
2014-08-24,29
2014-08-31,30
2014-09-07,28
2014-09-14,31
2014-09-21,31
2014-09-28,31
2014-10-05,26
2014-10-12,26
2014-10-19,25
2014-10-26,27
2014-11-02,28
2014-11-09,28
2014-11-16,27
2014-11-23,20
2014-11-30,26
2014-12-07,31
2014-12-14,26
2014-12-21,18
2014-12-28,22
2015-01-04,24
2015-01-11,27
2015-01-18,25
2015-01-25,25
2015-02-01,25
2015-02-08,27
2015-02-15,29
2015-02-22,24
2015-03-01,28
2015-03-08,26
2015-03-15,25
2015-03-22,32
2015-03-29,30
2015-04-05,30
2015-04-12,29
2015-04-19,31
2015-04-26,27
2015-05-03,28
2015-05-10,27
2015-05-17,33
2015-05-24,34
2015-05-31,34
2015-06-07,30
2015-06-14,30
2015-06-21,35
2015-06-28,30
2015-07-05,33
2015-07-12,33
2015-07-19,33
2015-07-26,34
2015-08-02,35
2015-08-09,36
2015-08-16,36
2015-08-23,31
2015-08-30,35
2015-09-06,37
2015-09-13,36
2015-09-20,35
2015-09-27,39
2015-10-04,39
2015-10-11,39
2015-10-18,39
2015-10-25,42
2015-11-01,42
2015-11-08,44
2015-11-15,40
2015-11-22,38
2015-11-29,40
2015-12-06,38
2015-12-13,37
2015-12-20,38
2015-12-27,40
2016-01-03,37
2016-01-10,41
2016-01-17,38
2016-01-24,40
2016-01-31,55
2016-02-07,42
2016-02-14,38
2016-02-21,44
2016-02-28,41
2016-03-06,48
2016-03-13,43
2016-03-20,44
2016-03-27,43
2016-04-03,41
2016-04-10,48
2016-04-17,43
2016-04-24,46
2016-05-01,40
2016-05-08,41
2016-05-15,45
2016-05-22,46
2016-05-29,53
2016-06-05,43
2016-06-12,41
2016-06-19,45
2016-06-26,42
2016-07-03,42
2016-07-10,41
2016-07-17,39
2016-07-24,38
2016-07-31,40
2016-08-07,42
2016-08-14,42
2016-08-21,40
2016-08-28,52
2016-09-04,50
2016-09-11,48
2016-09-18,45
2016-09-25,61
2016-10-02,50
2016-10-09,53
2016-10-16,48
2016-10-23,50
2016-10-30,52
2016-11-06,49
2016-11-13,55
2016-11-20,51
2016-11-27,52
2016-12-04,58
2016-12-11,55
2016-12-18,49
2016-12-25,49
2017-01-01,55
2017-01-08,66
2017-01-15,59
2017-01-22,65
2017-01-29,62
2017-02-05,75
2017-02-12,59
2017-02-19,67
2017-02-26,63
2017-03-05,69
2017-03-12,73
2017-03-19,64
2017-03-26,80
2017-04-02,75
2017-04-09,69
2017-04-16,65
2017-04-23,67
2017-04-30,66
2017-05-07,73
2017-05-14,70
2017-05-21,63
2017-05-28,63
2017-06-04,72
2017-06-11,73
2017-06-18,70
2017-06-25,69
2017-07-02,68
2017-07-09,66
2017-07-16,74
2017-07-23,68
2017-07-30,70
2017-08-06,74
2017-08-13,69
2017-08-20,71
2017-08-27,74
2017-09-03,84
2017-09-10,77
2017-09-17,88
2017-09-24,87
2017-10-01,96
2017-10-08,88
2017-10-15,86
2017-10-22,87
2017-10-29,84
2017-11-05,87
2017-11-12,86
2017-11-19,77
2017-11-26,82
2017-12-03,88
2017-12-10,84
2017-12-17,79
2017-12-24,66
2017-12-31,76
2018-01-07,90
2018-01-14,92
2018-01-21,94
2018-01-28,90
2018-02-04,93
2018-02-11,88
2018-02-18,98
2018-02-25,86
2018-03-04,91
2018-03-11,98
2018-03-18,91
2018-03-25,89
2018-04-01,88
2018-04-08,88
2018-04-15,92
2018-04-22,83
2018-04-29,79
2018-05-06,84
2018-05-13,95
2018-05-20,93
2018-05-27,79
2018-06-03,91
2018-06-10,89
2018-06-17,97
2018-06-24,94
2018-07-01,87
2018-07-08,87
2018-07-15,86
2018-07-22,82
2018-07-29,90
2018-08-05,83
2018-08-12,83
2018-08-19,92
2018-08-26,93
2018-09-02,99
2018-09-09,87
2018-09-16,99
2018-09-23,100
2018-09-30,98
2018-10-07,97
2018-10-14,97
2018-10-21,92
2018-10-28,99
