Category: All categories

Week,Python: (Worldwide),Java: (Worldwide),C++: (Worldwide)
2013-11-03,16,88,18
2013-11-10,16,88,18
2013-11-17,17,87,18
2013-11-24,17,83,17
2013-12-01,16,83,18
2013-12-08,15,82,17
2013-12-15,15,83,15
2013-12-22,12,74,12
2013-12-29,12,70,11
2014-01-05,14,81,15
2014-01-12,15,100,15
2014-01-19,15,98,16
2014-01-26,15,90,16
2014-02-02,15,87,16
2014-02-09,16,88,16
2014-02-16,16,88,17
2014-02-23,16,86,17
2014-03-02,17,84,17
2014-03-09,17,86,17
2014-03-16,16,88,17
2014-03-23,16,88,16
2014-03-30,16,86,17
2014-04-06,16,84,17
2014-04-13,16,89,16
2014-04-20,16,90,16
2014-04-27,15,84,14
2014-05-04,16,85,15
2014-05-11,16,83,16
2014-05-18,16,84,16
2014-05-25,15,80,15
2014-06-01,15,84,15
2014-06-08,15,78,14
2014-06-15,15,79,14
2014-06-22,15,79,13
2014-06-29,16,79,13
2014-07-06,15,78,13
2014-07-13,16,84,13
2014-07-20,16,85,13
2014-07-27,15,80,12
2014-08-03,15,81,13
2014-08-10,14,80,12
2014-08-17,15,80,13
2014-08-24,15,80,14
2014-08-31,15,79,15
2014-09-07,16,81,16
2014-09-14,17,83,16
2014-09-21,17,81,17
2014-09-28,17,79,16
2014-10-05,17,80,17
2014-10-12,17,86,17
2014-10-19,17,87,17
2014-10-26,17,90,17
2014-11-02,17,88,17
2014-11-09,17,89,18
2014-11-16,18,88,18
2014-11-23,16,77,17
2014-11-30,17,78,17
2014-12-07,17,78,16
2014-12-14,16,76,15
2014-12-21,12,67,12
2014-12-28,12,63,10
2015-01-04,15,73,13
2015-01-11,16,74,14
2015-01-18,17,80,15
2015-01-25,17,79,15
2015-02-01,18,79,16
2015-02-08,18,79,15
2015-02-15,17,77,15
2015-02-22,18,78,16
2015-03-01,18,77,16
2015-03-08,18,78,16
2015-03-15,18,76,16
2015-03-22,18,78,16
2015-03-29,18,74,15
2015-04-05,17,75,16
2015-04-12,18,82,16
2015-04-19,18,85,16
2015-04-26,17,77,15
2015-05-03,17,75,15
2015-05-10,17,75,15
2015-05-17,18,76,15
2015-05-24,17,73,14
2015-05-31,18,71,14
2015-06-07,18,72,14
2015-06-14,18,72,14
2015-06-21,18,71,13
2015-06-28,17,70,13
2015-07-05,17,70,13
2015-07-12,18,73,12
2015-07-19,18,71,12
2015-07-26,17,72,12
2015-08-02,17,70,12
2015-08-09,17,68,12
2015-08-16,17,68,13
2015-08-23,18,68,13
2015-08-30,18,72,14
2015-09-06,18,70,15
2015-09-13,19,68,15
2015-09-20,19,70,15
2015-09-27,19,69,16
2015-10-04,20,70,17
2015-10-11,20,71,17
2015-10-18,20,72,16
2015-10-25,20,70,16
2015-11-01,20,69,16
2015-11-08,20,66,16
2015-11-15,21,70,16
2015-11-22,18,65,15
2015-11-29,20,65,16
2015-12-06,20,67,16
2015-12-13,19,64,15
2015-12-20,15,55,12
2015-12-27,14,49,10
2016-01-03,19,54,13
2016-01-10,21,57,14
2016-01-17,21,60,14
2016-01-24,22,61,15
2016-01-31,23,63,15
2016-02-07,22,61,15
2016-02-14,22,62,16
2016-02-21,23,60,16
2016-02-28,23,61,16
2016-03-06,24,63,16
2016-03-13,23,62,16
2016-03-20,22,58,14
2016-03-27,22,60,15
2016-04-03,23,61,16
2016-04-10,24,60,16
2016-04-17,24,62,16
2016-04-24,23,61,15
2016-05-01,22,57,14
2016-05-08,23,59,14
2016-05-15,22,58,14
2016-05-22,23,57,14
2016-05-29,23,57,14
2016-06-05,23,56,13
2016-06-12,23,56,13
2016-06-19,23,57,13
2016-06-26,22,56,12
2016-07-03,21,52,12
2016-07-10,21,52,11
2016-07-17,22,55,12
2016-07-24,22,54,12
2016-07-31,22,54,12
2016-08-07,20,51,11
2016-08-14,19,48,11
2016-08-21,21,52,12
2016-08-28,22,54,13
2016-09-04,23,52,13
2016-09-11,24,54,14
2016-09-18,24,56,14
2016-09-25,25,57,15
2016-10-02,24,54,16
2016-10-09,25,55,16
2016-10-16,26,59,16
2016-10-23,27,57,16
2016-10-30,26,55,15
2016-11-06,26,54,16
2016-11-13,28,57,17
2016-11-20,25,54,16
2016-11-27,27,56,16
2016-12-04,27,53,16
2016-12-11,25,52,14
2016-12-18,23,48,13
2016-12-25,19,42,10
2017-01-01,23,46,12
2017-01-08,26,50,13
2017-01-15,27,53,14
2017-01-22,28,52,14
2017-01-29,27,54,15
2017-02-05,29,55,15
2017-02-12,30,55,16
2017-02-19,30,56,16
2017-02-26,31,56,16
2017-03-05,30,57,16
2017-03-12,31,57,16
2017-03-19,30,56,16
2017-03-26,33,57,16
2017-04-02,31,56,16
2017-04-09,30,53,15
2017-04-16,29,53,15
2017-04-23,31,56,15
2017-04-30,28,49,14
2017-05-07,30,53,14
2017-05-14,28,51,13
2017-05-21,28,51,13
2017-05-28,27,48,12
2017-06-04,28,48,13
2017-06-11,29,48,12
2017-06-18,29,48,12
2017-06-25,28,46,11
2017-07-02,28,47,11
2017-07-09,28,47,12
2017-07-16,29,48,12
2017-07-23,28,49,12
2017-07-30,28,47,11
2017-08-06,28,45,11
2017-08-13,27,44,11
2017-08-20,28,45,11
2017-08-27,28,46,12
2017-09-03,29,47,13
2017-09-10,32,50,14
2017-09-17,32,51,15
2017-09-24,32,50,14
2017-10-01,32,48,15
2017-10-08,34,51,16
2017-10-15,33,49,15
2017-10-22,34,51,16
2017-10-29,33,49,15
2017-11-05,35,52,16
2017-11-12,34,52,16
2017-11-19,31,48,14
2017-11-26,34,50,15
2017-12-03,35,50,15
2017-12-10,33,48,14
2017-12-17,30,44,12
2017-12-24,23,35,9
2017-12-31,25,38,10
2018-01-07,31,45,12
2018-01-14,32,47,13
2018-01-21,33,47,13
2018-01-28,34,48,13
2018-02-04,35,48,14
2018-02-11,34,46,13
2018-02-18,34,48,14
2018-02-25,34,47,14
2018-03-04,34,46,14
2018-03-11,35,48,14
2018-03-18,36,47,14
2018-03-25,34,45,13
2018-04-01,33,46,13
2018-04-08,35,46,14
2018-04-15,36,49,14
2018-04-22,35,47,14
2018-04-29,32,42,12
2018-05-06,34,45,12
2018-05-13,34,46,13
2018-05-20,35,44,12
2018-05-27,33,43,12
2018-06-03,34,44,12
2018-06-10,34,41,11
2018-06-17,35,42,11
2018-06-24,34,41,10
2018-07-01,31,40,10
2018-07-08,34,42,11
2018-07-15,34,44,11
2018-07-22,34,43,11
2018-07-29,33,42,11
2018-08-05,34,42,11
2018-08-12,32,40,10
2018-08-19,34,42,11
2018-08-26,35,42,11
2018-09-02,34,44,12
2018-09-09,36,44,13
2018-09-16,38,45,14
2018-09-23,37,45,14
2018-09-30,37,44,14
2018-10-07,38,45,14
2018-10-14,39,45,14
2018-10-21,39,46,14
2018-10-28,39,46,14
