Parameter;Normal;Record +;2017;2016;2015;2014;2013;2012;2011;2010
Average Temperature;10.5;11.9;11.3;10.7;11.3;11.9;10.1;10.6;11.6;9.7
Average Max Temperature;14.2;15.8;15;14.3;15.1;15.6;13.6;14.4;15.8;13.4
Average Min Temperature;6.9;8.5;7.5;7.1;7.5;8.5;6.6;6.8;7.6;5.9
Frost Days (min < 0C);44;84;33;43;33;8;58;37;28;74
Winter Days(max < 0C);7.5;30;4;2;1;1;16;14;2;27
Summer Days (max >= 25C);27.9;45;33;25;31;21;30;24;27;31
Heat Days (max >= 30C);3.9;13;7;6;7;2;6;4;2;7
Total precipation;852.4;1088.5;749.1;942.3;742.7;784.3;815.9;976.5;814.9;914.1
Rainy Days;198.7;248;209;190;198;183;180;212;187;201
Snow Days;19.2;53;21;17;8;5;37;16;11;53
Average Wind Speed;3.7;4;3.4;3.4;3.7;3.6;3.6;3.5;3.5;3.3
Sunshine;1544.00;2020.00;1559.00;1571.00;1734.00;1634.40;1510.00;1529.00;1781.90;1556.00
Humidity;78;81;76;77;76;76.7;77;80;77;79
Air pressure;1016;1017.9;1016.6;1016.2;1017.9;1013.8;1015.6;1016;1017.1;1013.8
